raw_name,count,region_code,canonical_name,level,method,sources
Республика Алтай4,76,altai_rep,Республика Алтай,region,canonical,"rosreestr_deals,rosstat_construction"
Ямало-Ненецкий автономный округ4,76,yamal,Ямало-Ненецкий автономный округ,region,exact,"rosreestr_deals,rosstat_construction"
chukotka,73,chukotka,Чукотский автономный округ,region,exact,fns_tochno_sectors
Архангельская область (кроме Ненецкого АО),72,arkhangelsk,Архангельская область (без НАО),region,exact,rosstat_construction
Ханты-Мансийский АО-Югра,72,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosstat_construction
Магаданская область4,68,magadan,Магаданская область,region,canonical,"rosreestr_deals,rosstat_construction"
Еврейская автономная область4,64,jewish_ao,Еврейская автономная область,region,canonical,"rosreestr_deals,rosstat_construction"
Итого,59,ru,,country,exact,cbr_lending
zaporizhzhia,58,zaporozhye,Запорожская область,region,exact,fns_tochno_sectors
Южный федеральный округ1),54,ufd,Южный федеральный округ,federal_district,exact,rosstat_construction
Республика Тыва4,52,tuva,Республика Тыва,region,canonical,"rosreestr_deals,rosstat_construction"
Чувашская Республика-Чувашия,48,chuvashia,Чувашская Республика,region,exact,"rosreestr_deals,rosstat_construction"
Ямало-Ненецкий авт.округ,48,yamal,Ямало-Ненецкий автономный округ,region,exact,rosstat_construction
Тюменская область(без Ханты-Мансийского -Югры и Ямало-Ненецкого автономных округов),41,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact-norm,"rosreestr_deals,rosstat_construction"
kherson,37,kherson,Херсонская область,region,exact,fns_tochno_sectors
Усть-Ордынский Бурятский округ,34,irkutsk,Иркутская область,region,exact,rosstat_construction
Агинский Бурятский округ (Забайкальский край),32,zabaikalsk,Забайкальский край,region,exact,rosstat_construction
Город Москва2),32,moscow,Москва,region,canonical,rosstat_construction
Южный федеральный округ (с 29.07.2016),32,ufd,Южный федеральный округ,federal_district,exact-norm,rosstat_construction
Дальневосточный федеральный округ2),32,dfd,Дальневосточный федеральный округ,federal_district,exact,rosstat_construction
Сибирский федеральный округ2),32,sfd,Сибирский федеральный округ,federal_district,exact,rosstat_construction
Чеченская республика,31,chechnya,Чеченская Республика,region,canonical,"rosreestr_deals,rosstat_construction"
"Архангельская область 
без автономного округа",31,arkhangelsk,Архангельская область (без НАО),region,exact-norm,rosreestr_deals
"Дальневосточный 
федеральный округ",31,dfd,Дальневосточный федеральный округ,federal_district,exact,rosreestr_deals
"Приволжский 
федеральный округ",31,pfd,Приволжский федеральный округ,federal_district,exact,rosreestr_deals
Республика Северная Осетия – Алания,31,north_ossetia,Республика Северная Осетия — Алания,region,exact,rosreestr_deals
"Северо-Западный 
федеральный округ",31,szfd,Северо-Западный федеральный округ,federal_district,exact,rosreestr_deals
"Северо-Кавказский 
федеральный округ",31,skfd,Северо-Кавказский федеральный округ,federal_district,exact,rosreestr_deals
"Сибирский 
федеральный округ",31,sfd,Сибирский федеральный округ,federal_district,exact,rosreestr_deals
"Тюменская область без автономных 
округов",31,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact,rosreestr_deals
"Уральский 
федеральный округ",31,urfd,Уральский федеральный округ,federal_district,exact,rosreestr_deals
"Ханты-Мансийский автономный округ – 
Югра",31,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosreestr_deals
"Центральный 
федеральный округ",31,cfd,Центральный федеральный округ,federal_district,exact,rosreestr_deals
"Южный 
федеральный округ",31,ufd,Южный федеральный округ,federal_district,exact,rosreestr_deals
Ханты-Мансийский авт.округ - Югра,26,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosstat_construction
"Коми-Пермяцкий округ, входящий в состав Пермского края",25,perm,Пермский край,region,exact-norm,rosstat_construction
Ханты-Мансийский автономный округ – Югра,25,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosstat_construction
Краснодарский край 3,25,krasnodar,Краснодарский край,region,canonical,rosreestr_deals
Сибирский           федеральный округ,25,sfd,Сибирский федеральный округ,federal_district,exact,rosreestr_deals
Южный                   федеральный округ,25,ufd,Южный федеральный округ,federal_district,exact,rosreestr_deals
Чукотский автономный округ4,24,chukotka,Чукотский автономный округ,region,exact,"rosreestr_deals,rosstat_construction"
Аpхангельская область,22,arkhangelsk,Архангельская область (без НАО),region,exact,rosstat_construction
Архангельская без НАО,22,arkhangelsk,Архангельская область (без НАО),region,exact,rosstat_construction
Бpянская область,22,bryansk,Брянская область,region,canonical,rosstat_construction
Владимиpская область,22,vladimir,Владимирская область,region,canonical,rosstat_construction
Город Санкт-Петербург город федерального значения,22,spb,Санкт-Петербург,region,exact-norm,rosstat_construction
Дальневосточный федеральный округ 2),22,dfd,Дальневосточный федеральный округ,federal_district,exact,rosstat_construction
Еврейская авт. округ,22,jewish_ao,Еврейская автономная область,region,exact,rosstat_construction
Киpовская область,22,kirov,Кировская область,region,canonical,rosstat_construction
Костpомская область,22,kostroma,Костромская область,region,canonical,rosstat_construction
Ленингpадская область,22,leningrad,Ленинградская область,region,canonical,rosstat_construction
Муpманская область,22,murmansk,Мурманская область,region,canonical,rosstat_construction
Новгоpодская область,22,novgorod,Новгородская область,region,canonical,rosstat_construction
Оpловская область,22,oryol,Орловская область,region,canonical,rosstat_construction
Респуб Калмыкия,22,kalmykia,Республика Калмыкия,region,exact,rosstat_construction
Республика Маpий Эл,22,marij_el,Республика Марий Эл,region,canonical,rosstat_construction
Республика Моpдовия,22,mordovia,Республика Мордовия,region,canonical,rosstat_construction
Российская Федеpация,22,ru,,country,exact,rosstat_construction
Севеpо-Западный федеральный округ,22,szfd,Северо-Западный федеральный округ,federal_district,exact,rosstat_construction
Северо-Кавказский федер. округ,22,skfd,Северо-Кавказский федеральный округ,federal_district,exact,rosstat_construction
Сибирский федеральный округ 2),22,sfd,Сибирский федеральный округ,federal_district,exact,rosstat_construction
Твеpская область,22,tver,Тверская область,region,canonical,rosstat_construction
Тюменская область (без авт.округов),22,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact-norm,rosstat_construction
Ханты-Мансийский автономный округ-Югра,22,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosstat_construction
Центpальный федеральный округ,22,cfd,Центральный федеральный округ,federal_district,exact,rosstat_construction
Эвенкийский автономный округ (Красноярский край),22,krasnoyarsk,Красноярский край,region,exact-norm,rosstat_construction
Яpославская область,22,yaroslavl,Ярославская область,region,canonical,rosstat_construction
в т.ч. Ханты-Мансийский авт.округ,22,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosstat_construction
в т.ч.Ненецкий авт.округ,22,nenets_ao,Ненецкий автономный округ,region,exact,rosstat_construction
в том числе: Ненецкий автономный округ,22,nenets_ao,Ненецкий автономный округ,region,exact,rosstat_construction
г. Санкт-Петеpбуpг,22,spb,Санкт-Петербург,region,canonical,rosstat_construction
Город Москва столица Российской Федерации город федерального значения,21,moscow,Москва,region,exact-norm,rosstat_construction
Тюменская область (без АО),21,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact-norm,rosstat_construction
Воронежская область7,21,voronezh,Воронежская область,region,canonical,"cbr_lending,rosstat_construction"
Архангельская область — Ненецкий автономный округ,21,arkhangelsk,Архангельская область (без НАО),region,exact-norm,rosreestr_deals
Тюменская область — Ханты-Мансийский автономный округ – Югра,21,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact-norm,rosreestr_deals
Тюменская область — Ямало-Ненецкий автономный округ,21,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact-norm,rosreestr_deals
Крым,20,crimea,Республика Крым,region,exact,rosreestr_deals
Ханты-Мансийский АО,20,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosreestr_deals
Ямало-Ненецкий АO,20,yamal,Ямало-Ненецкий автономный округ,region,exact,rosreestr_deals
Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край),19,krasnoyarsk,Красноярский край,region,exact-norm,rosstat_construction
Агинский Бурятский округ,15,zabaikalsk,Забайкальский край,region,exact,rosstat_construction
Архангельская область без авт. округа,12,arkhangelsk,Архангельская область (без НАО),region,exact,rosstat_construction
Коми-Пермяцкий округ,12,perm,Пермский край,region,exact,rosstat_construction
Мурманская область4,12,murmansk,Мурманская область,region,canonical,"rosreestr_deals,rosstat_construction"
Краснодарский край2,12,krasnodar,Краснодарский край,region,canonical,rosstat_construction
"Корякский округ, входящий в состав Камчатского края",11,kamchatka,Камчатский край,region,exact-norm,rosstat_construction
Эвенкийский автономный округ,11,krasnoyarsk,Красноярский край,region,exact-norm,rosstat_construction
Аpхангельская область без автономного округа,10,arkhangelsk,Архангельская область (без НАО),region,exact-norm,rosstat_construction
Таймырский (Долгано-Ненецкий) автономный округ,10,krasnoyarsk,Красноярский край,region,exact-norm,rosstat_construction
"Российская Федерация (среднесписочная, орг.)",10,ru,,country,exact,rosstat_construction
Южный федеральный округ (по 2009 год),9,ufd,Южный федеральный округ,federal_district,exact,rosstat_construction
Архангельская область без авт.округа,9,arkhangelsk,Архангельская область (без НАО),region,exact,rosstat_construction
Корякский округ,7,kamchatka,Камчатский край,region,exact,rosstat_construction
Чукотский автономный,6,chukotka,Чукотский автономный округ,region,exact,rosstat_construction
Южный федеральный округ (с 2010 года),5,ufd,Южный федеральный округ,federal_district,exact,rosstat_construction
Алтайского края,5,altai_terr,Алтайский край,region,fuzzy:0.93,rosstat_construction
Амурской области,5,amur,Амурская область,region,canonical,rosstat_construction
Астраханской области,5,astrakhan,Астраханская область,region,canonical,rosstat_construction
Волгоградской области,5,volgograd,Волгоградская область,region,canonical,rosstat_construction
Вологодской области,5,vologda,Вологодская область,region,canonical,rosstat_construction
Дальневосточного федерального округа,5,dfd,Дальневосточный федеральный округ,federal_district,exact,rosstat_construction
Еврейской автономной области,5,jewish_ao,Еврейская автономная область,region,fuzzy:0.93,rosstat_construction
Забайкальского края,5,zabaikalsk,Забайкальский край,region,fuzzy:0.94,rosstat_construction
Иркутской области,5,irkutsk,Иркутская область,region,canonical,rosstat_construction
Кабардино-Балкарской Республики,5,kabardino,Кабардино-Балкарская Республика,region,canonical,rosstat_construction
Калининградской области,5,kaliningrad,Калининградская область,region,canonical,rosstat_construction
Камчатского края,5,kamchatka,Камчатский край,region,fuzzy:0.93,rosstat_construction
Карачаево-Черкесской Республики,5,karachaevo,Карачаево-Черкесская Республика,region,canonical,rosstat_construction
Кемеровской области,5,kemerovo,Кемеровская область — Кузбасс,region,exact,rosstat_construction
Кировской области,5,kirov,Кировская область,region,canonical,rosstat_construction
Краснодарского края,5,krasnodar,Краснодарский край,region,fuzzy:0.94,rosstat_construction
Красноярского края,5,krasnoyarsk,Красноярский край,region,fuzzy:0.94,rosstat_construction
Курганской области,5,kurgan,Курганская область,region,canonical,rosstat_construction
Ленинградской области,5,leningrad,Ленинградская область,region,canonical,rosstat_construction
Магаданской области,5,magadan,Магаданская область,region,canonical,rosstat_construction
Мурманской области,5,murmansk,Мурманская область,region,canonical,rosstat_construction
Нижегородской области,5,nizhni,Нижегородская область,region,canonical,rosstat_construction
Новгородской области,5,novgorod,Новгородская область,region,canonical,rosstat_construction
Новосибирской области,5,novosibirsk,Новосибирская область,region,canonical,rosstat_construction
Омской области,5,omsk,Омская область,region,canonical,rosstat_construction
Оренбургской области,5,orenburg,Оренбургская область,region,canonical,rosstat_construction
Пензенской области,5,penza,Пензенская область,region,canonical,rosstat_construction
Пермского края,5,perm,Пермский край,region,fuzzy:0.92,rosstat_construction
Приволжского федерального округа,5,pfd,Приволжский федеральный округ,federal_district,exact-norm,rosstat_construction
Приморского края,5,primorsky,Приморский край,region,fuzzy:0.93,rosstat_construction
Псковской области,5,pskov,Псковская область,region,canonical,rosstat_construction
Республики Адыгея,5,adygea,Республика Адыгея,region,fuzzy:0.94,rosstat_construction
Республики Алтай,5,altai_rep,Республика Алтай,region,fuzzy:0.94,rosstat_construction
Республики Башкортостан,5,bashkortostan,Республика Башкортостан,region,fuzzy:0.96,rosstat_construction
Республики Бурятия,5,buryatia,Республика Бурятия,region,fuzzy:0.94,rosstat_construction
Республики Дагестан,5,dagestan,Республика Дагестан,region,fuzzy:0.95,rosstat_construction
Республики Ингушетия,5,ingushetia,Республика Ингушетия,region,fuzzy:0.95,rosstat_construction
Республики Калмыкия,5,kalmykia,Республика Калмыкия,region,fuzzy:0.95,rosstat_construction
Республики Крым,5,crimea,Республика Крым,region,fuzzy:0.93,rosstat_construction
Республики Марий Эл,5,marij_el,Республика Марий Эл,region,fuzzy:0.95,rosstat_construction
Республики Мордовия,5,mordovia,Республика Мордовия,region,fuzzy:0.95,rosstat_construction
Республики Саха (Якутия),5,sakha,Республика Саха (Якутия),region,fuzzy:0.95,rosstat_construction
Республики Северная Осетия - Алания,5,north_ossetia,Республика Северная Осетия — Алания,region,fuzzy:0.97,rosstat_construction
Республики Татарстан,5,tatarstan,Республика Татарстан,region,fuzzy:0.95,rosstat_construction
Республики Тыва,5,tuva,Республика Тыва,region,fuzzy:0.93,rosstat_construction
Республики Хакасия,5,khakasia,Республика Хакасия,region,fuzzy:0.94,rosstat_construction
Ростовской области,5,rostov,Ростовская область,region,canonical,rosstat_construction
Самарской области,5,samara,Самарская область,region,canonical,rosstat_construction
Саратовской области,5,saratov,Саратовская область,region,canonical,rosstat_construction
Сахалинской области,5,sakhalin,Сахалинская область,region,canonical,rosstat_construction
Свердловской области,5,sverdlovsk,Свердловская область,region,canonical,rosstat_construction
Северо-Каваказского федерального округа,5,skfd,Северо-Кавказский федеральный округ,federal_district,exact-norm,rosstat_construction
Сибирского федерального округа,5,sfd,Сибирский федеральный округ,federal_district,exact-norm,rosstat_construction
Ставропольского края,5,stavropol,Ставропольский край,region,fuzzy:0.95,rosstat_construction
Томской области,5,tomsk,Томская область,region,canonical,rosstat_construction
Тюменской области,5,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact-norm,rosstat_construction
Тюменской области без Ханты-Мансийского и Ямало-Ненецкого автономных округов,5,tyumen,Тюменская область (без ХМАО и ЯНАО),region,exact,rosstat_construction
Удмуртской Республики,5,udmurtia,Удмуртская Республика,region,canonical,rosstat_construction
Ульяновской области,5,ulyanovsk,Ульяновская область,region,canonical,rosstat_construction
Уральского федерального округа,5,urfd,Уральский федеральный округ,federal_district,exact-norm,rosstat_construction
Хабаровского края,5,khabarovsk,Хабаровский край,region,fuzzy:0.94,rosstat_construction
Ханты-Мансийского автономного округа - Югра,5,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosstat_construction
Челябинской области,5,chelyabinsk,Челябинская область,region,canonical,rosstat_construction
Чеченской Республики,5,chechnya,Чеченская Республика,region,canonical,rosstat_construction
Чувашской Республики,5,chuvashia,Чувашская Республика,region,canonical,rosstat_construction
Чукотского автономного округа,5,chukotka,Чукотский автономный округ,region,exact-norm,rosstat_construction
Южного федерального округа,5,ufd,Южный федеральный округ,federal_district,exact,rosstat_construction
Ямало-Ненецкого автономного округа,5,yamal,Ямало-Ненецкий автономный округ,region,exact-norm,rosstat_construction
г. Санкт-Петербурга,5,spb,Санкт-Петербург,region,fuzzy:0.97,rosstat_construction
Еврейская авт. область,4,jewish_ao,Еврейская автономная область,region,exact,rosstat_construction
Чукотский авт. округ,4,chukotka,Чукотский автономный округ,region,exact,rosstat_construction
в том числе: Ненецкий авт. округ,4,nenets_ao,Ненецкий автономный округ,region,exact,rosstat_construction
в том числе: Ханты-Мансийский авт. округ,4,khanty,Ханты-Мансийский автономный округ — Югра,region,exact,rosstat_construction
Архангельская область (без АО),1,arkhangelsk,Архангельская область (без НАО),region,exact,rosstat_construction
